Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Fuse Complete Orders,Chrome 74.0.3729.169,,,2019-05-29 10:42:43,2019-05-29 10:44:40,1m - 56.656s,INCOMPLETE
,,,,,,,
Test Cases/Fuse/Encr,Chrome 74.0.3729.169,,,2019-05-29 10:42:43,2019-05-29 10:43:03,19.351s,PASSED
"openBrowser(""http://uatfuse.clearlink.com"")",Chrome 74.0.3729.169,,,2019-05-29 10:42:43,2019-05-29 10:42:48,4.103s,PASSED
"setText(findTestObject(""Page_Clearlink Authentication/input_to Insurance_usr""), ""scott.patterson@clearlink.com"")",Chrome 74.0.3729.169,,,2019-05-29 10:42:48,2019-05-29 10:42:48,0.291s,PASSED
"setText(findTestObject(""Page_Clearlink Authentication/input_to Insurance_pwd""), ""Homer4ver"")",Chrome 74.0.3729.169,,,2019-05-29 10:42:48,2019-05-29 10:42:48,0.118s,PASSED
"click(findTestObject(""Page_Clearlink Authentication/button_Login""))",Chrome 74.0.3729.169,,,2019-05-29 10:42:48,2019-05-29 10:42:52,3.928s,PASSED
"click(findTestObject(""Page_ Fuse (Scott Patterson)/a_ENCR""))",Chrome 74.0.3729.169,,,2019-05-29 10:42:52,2019-05-29 10:42:52,0.633s,PASSED
switchToWindowIndex(1),Chrome 74.0.3729.169,,,2019-05-29 10:42:52,2019-05-29 10:42:53,0.026s,PASSED
"setText(findTestObject(""Page_ Fuse (Scott Patterson)/input_Street Address _customer_addresses_primary_line1""), Address1)",Chrome 74.0.3729.169,,,2019-05-29 10:42:53,2019-05-29 10:42:56,3.014s,PASSED
"setText(findTestObject(""Page_ Fuse (Scott Patterson)/input_First Name _customer_first_name""), firstname)",Chrome 74.0.3729.169,,,2019-05-29 10:42:56,2019-05-29 10:42:56,0.255s,PASSED
"setText(findTestObject(""Page_ Fuse (Scott Patterson)/input_Last Name _customer_last_name""), lastname)",Chrome 74.0.3729.169,,,2019-05-29 10:42:56,2019-05-29 10:42:56,0.377s,PASSED
"setText(findTestObject(""Page_ Fuse (Scott Patterson)/input_ZipPostal Code _customer_addresses_primary_postal_code""), canadianzip)",Chrome 74.0.3729.169,,,2019-05-29 10:42:56,2019-05-29 10:42:56,0.132s,PASSED
"selectOptionByIndex(findTestObject(""Page_ Fuse (Scott Patterson)/select_AlbertaBritish ColumbiaManitobaNew BrunswickNewfoundland and LabradorNorthwest TerritoriesNova ScotiaNunavutOntarioPrince Edward IslandQuebecSaskatchewanYukon""), 2)",Chrome 74.0.3729.169,,,2019-05-29 10:42:56,2019-05-29 10:42:56,0.178s,PASSED
OPTIONAL,Chrome 74.0.3729.169,,,2019-05-29 10:42:56,2019-05-29 10:42:56,0.005s,PASSED
"click(findTestObject(""Page_ Fuse (Scott Patterson)/label_Yes""))",Chrome 74.0.3729.169,,,2019-05-29 10:42:56,2019-05-29 10:42:57,0.122s,PASSED
"setText(findTestObject(""Page_ Fuse (Scott Patterson)/input_City _customer_addresses_primary_city""), ""Townsville"")",Chrome 74.0.3729.169,,,2019-05-29 10:42:57,2019-05-29 10:42:57,0.159s,PASSED
"setText(findTestObject(""Page_ Fuse (Scott Patterson)/input_Email _customer_email""), ""test@mail.com"")",Chrome 74.0.3729.169,,,2019-05-29 10:42:57,2019-05-29 10:42:57,0.438s,PASSED
"waitForElementClickable(findTestObject(""EncrFolder/Page_ Fuse (Scott Patterson)/button_Next Encr""), 0)",Chrome 74.0.3729.169,,,2019-05-29 10:42:57,2019-05-29 10:42:57,0.055s,PASSED
"click(findTestObject(""EncrFolder/Page_ Fuse (Scott Patterson)/button_Next Encr""))",Chrome 74.0.3729.169,,,2019-05-29 10:42:57,2019-05-29 10:42:57,0.108s,PASSED
delay(5),Chrome 74.0.3729.169,,,2019-05-29 10:42:57,2019-05-29 10:43:02,5.025s,PASSED
waitForPageLoad(0),Chrome 74.0.3729.169,,,2019-05-29 10:43:02,2019-05-29 10:43:02,0.037s,PASSED
closeBrowser(),Chrome 74.0.3729.169,,,2019-05-29 10:43:02,2019-05-29 10:43:03,0.127s,PASSED
,,,,,,,
Test Cases/Fuse/Encr,Chrome 74.0.3729.169,,,2019-05-29 10:43:03,2019-05-29 10:43:20,17.840s,PASSED
"openBrowser(""http://uatfuse.clearlink.com"")",Chrome 74.0.3729.169,,,2019-05-29 10:43:03,2019-05-29 10:43:06,3.860s,PASSED
"setText(findTestObject(""Page_Clearlink Authentication/input_to Insurance_usr""), ""scott.patterson@clearlink.com"")",Chrome 74.0.3729.169,,,2019-05-29 10:43:06,2019-05-29 10:43:07,0.243s,PASSED
"setText(findTestObject(""Page_Clearlink Authentication/input_to Insurance_pwd""), ""Homer4ver"")",Chrome 74.0.3729.169,,,2019-05-29 10:43:07,2019-05-29 10:43:07,0.142s,PASSED
"click(findTestObject(""Page_Clearlink Authentication/button_Login""))",Chrome 74.0.3729.169,,,2019-05-29 10:43:07,2019-05-29 10:43:10,3.644s,PASSED
"click(findTestObject(""Page_ Fuse (Scott Patterson)/a_ENCR""))",Chrome 74.0.3729.169,,,2019-05-29 10:43:10,2019-05-29 10:43:11,0.178s,PASSED
switchToWindowIndex(1),Chrome 74.0.3729.169,,,2019-05-29 10:43:11,2019-05-29 10:43:11,0.017s,PASSED
"setText(findTestObject(""Page_ Fuse (Scott Patterson)/input_Street Address _customer_addresses_primary_line1""), Address1)",Chrome 74.0.3729.169,,,2019-05-29 10:43:11,2019-05-29 10:43:13,2.622s,PASSED
"setText(findTestObject(""Page_ Fuse (Scott Patterson)/input_First Name _customer_first_name""), firstname)",Chrome 74.0.3729.169,,,2019-05-29 10:43:13,2019-05-29 10:43:14,0.299s,PASSED
"setText(findTestObject(""Page_ Fuse (Scott Patterson)/input_Last Name _customer_last_name""), lastname)",Chrome 74.0.3729.169,,,2019-05-29 10:43:14,2019-05-29 10:43:14,0.386s,PASSED
"setText(findTestObject(""Page_ Fuse (Scott Patterson)/input_ZipPostal Code _customer_addresses_primary_postal_code""), canadianzip)",Chrome 74.0.3729.169,,,2019-05-29 10:43:14,2019-05-29 10:43:14,0.166s,PASSED
"selectOptionByIndex(findTestObject(""Page_ Fuse (Scott Patterson)/select_AlbertaBritish ColumbiaManitobaNew BrunswickNewfoundland and LabradorNorthwest TerritoriesNova ScotiaNunavutOntarioPrince Edward IslandQuebecSaskatchewanYukon""), 2)",Chrome 74.0.3729.169,,,2019-05-29 10:43:14,2019-05-29 10:43:14,0.158s,PASSED
OPTIONAL,Chrome 74.0.3729.169,,,2019-05-29 10:43:14,2019-05-29 10:43:14,0.001s,PASSED
